
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      255   -33.0384776300       -33.0384776300        0.00000000000    
      256   -35.0256517500       -35.0256517500        0.00000000000    
      257   -37.0128258800       -37.0128258800        0.00000000000    
      258   -7.21898964700       -10.8113916100        0.00000000000    
      259   -4.96727671100       -12.0135824000        0.00000000000    
      260   -2.52405986100       -12.7526123500        0.00000000000    

   NODE        X                   Y                   Z
      261   -36.2142857100       -39.0000000000        0.00000000000    
      262   -33.4285714300       -39.0000000000        0.00000000000    
      263   -30.6428571400       -39.0000000000        0.00000000000    
      264   -27.8571428600       -39.0000000000        0.00000000000    
      265   -25.0714285700       -39.0000000000        0.00000000000    
      266   -22.2857142900       -39.0000000000        0.00000000000    
      267   -19.5000000000       -39.0000000000        0.00000000000    
      268   -16.7142857100       -39.0000000000        0.00000000000    
      269   -13.9285714300       -39.0000000000        0.00000000000    
      270   -11.1428571400       -39.0000000000        0.00000000000    
      271   -8.35714285700       -39.0000000000        0.00000000000    
      272   -5.57142857100       -39.0000000000        0.00000000000    
      273   -2.78571428600       -39.0000000000        0.00000000000    
      274   -20.2648184700       -29.1304172600        0.00000000000    
      275   -13.7516289500       -27.4968684500        0.00000000000    
      276   -16.1633355500       -27.9385021800        0.00000000000    
      277   -11.0897294000       -27.2786030100        0.00000000000    
      278   -11.6003489500       -24.3428453500        0.00000000000    
      279   -10.8717525600       -30.2439410400        0.00000000000    
      280   -13.4485074500       -30.4060751000        0.00000000000    

   NODE        X                   Y                   Z
      281   -18.3399695000       -28.5117283100        0.00000000000    
      282   -15.9605946500       -30.7178180300        0.00000000000    
      283   -18.4108222200       -31.0545786200        0.00000000000    
      284   -20.8788376600       -30.9575176100        0.00000000000    
      285   -8.62838879400       -24.2653907500        0.00000000000    
      286   -8.34283835900       -27.1972956200        0.00000000000    
      287   -8.18873930100       -30.1999750500        0.00000000000    
      288   -17.0532367000       -25.2291876800        0.00000000000    
      289   -12.0411740300       -21.7857669800        0.00000000000    
      290   -23.2212786200       -30.2201441000        0.00000000000    
      291   -19.3741520100       -26.3519605800        0.00000000000    
      292   -14.4225191400       -24.5221834100        0.00000000000    
      293   -8.22361949000       -33.1832194900        0.00000000000    
      294   -10.9064148000       -33.1939556800        0.00000000000    
      295   -13.5309722400       -33.2841703500        0.00000000000    
      296   -16.1797481000       -33.4865190600        0.00000000000    
      297   -18.8947157500       -33.6178445800        0.00000000000    
      298   -24.4383063200       -32.7756575700        0.00000000000    
      299   -9.90596975800       -18.7554851600        0.00000000000    
      300   -6.11696488500       -20.9798144700        0.00000000000    

   NODE        X                   Y                   Z
      301   -5.73833079700       -24.1522374500        0.00000000000    
      302   -5.56360304900       -27.2046320400        0.00000000000    
      303   -5.51937413200       -33.1960404700        0.00000000000    
      304   -6.98277094800       -17.3982778100        0.00000000000    
      305   -12.1676335200       -19.7465664000        0.00000000000    
      306   -25.2065309000       -28.8441171300        0.00000000000    
      307   -26.9383472600       -31.3802325500        0.00000000000    
      308   -28.4701544600       -34.5944307900        0.00000000000    
      309   -33.6061714700       -36.7540948200        0.00000000000    
      310   -31.2499929300       -35.7717017800        0.00000000000    
      311   -25.1652842200       -35.7005825400        0.00000000000    
      312   -22.1686136200       -36.1411912000        0.00000000000    
      313   -19.2842692500       -36.2548587300        0.00000000000    
      314   -16.4842686600       -36.2340541100        0.00000000000    
      315   -13.7324752200       -36.1770284300        0.00000000000    
      316   -11.0446620000       -36.1215826500        0.00000000000    
